iteration iterationBirth density dbh height
0 0 3 3 1.49249
0 0 7 2 1.18245
0 0 5 1 0.794145
1 0 3 3.1 1.52086
1 0 7 2.1 1.21605
1 0 5 1.1 0.838826
2 0 3 3.2 1.54884
2 0 7 2.2 1.24897
2 0 5 1.2 0.881808
3 0 3 3.3 1.57646
3 0 7 2.3 1.28127
3 0 5 1.3 0.923289
4 0 3 3.4 1.60372
4 0 7 2.4 1.31297
4 0 5 1.4 0.963433
5 0 3 3.5 1.63064
5 0 7 2.5 1.34412
5 0 5 1.5 1.00237
6 0 3 3.6 1.65724
6 0 7 2.6 1.37474
6 0 5 1.6 1.04022
7 0 3 3.7 1.68352
7 0 7 2.7 1.40486
7 0 5 1.7 1.07708
8 0 3 3.8 1.7095
8 0 7 2.8 1.43451
8 0 5 1.8 1.11302
9 0 3 3.9 1.7352
9 0 7 2.9 1.46371
9 0 5 1.9 1.14812
10 0 3 4 1.76061
10 0 7 3 1.49249
10 0 5 2 1.18245
11 0 3 4.1 1.78575
11 0 7 3.1 1.52086
11 0 5 2.1 1.21605
12 0 3 4.2 1.81064
12 0 7 3.2 1.54884
12 0 5 2.2 1.24897
13 0 3 4.3 1.83527
13 0 7 3.3 1.57646
13 0 5 2.3 1.28127
14 0 3 4.4 1.85967
14 0 7 3.4 1.60372
14 0 5 2.4 1.31297
15 0 3 4.5 1.88382
15 0 7 3.5 1.63064
15 0 5 2.5 1.34412
16 0 3 4.6 1.90775
16 0 7 3.6 1.65724
16 0 5 2.6 1.37474
17 0 3 4.7 1.93146
17 0 7 3.7 1.68352
17 0 5 2.7 1.40486
18 0 3 4.8 1.95496
18 0 7 3.8 1.7095
18 0 5 2.8 1.43451
19 0 3 4.9 1.97824
19 0 7 3.9 1.7352
19 0 5 2.9 1.46371
20 0 3 5 2.00133
20 0 7 4 1.76061
20 0 5 3 1.49249
21 0 3 5.1 2.02422
21 0 7 4.1 1.78575
21 0 5 3.1 1.52086
22 0 3 5.2 2.04692
22 0 7 4.2 1.81064
22 0 5 3.2 1.54884
23 0 3 5.3 2.06943
23 0 7 4.3 1.83527
23 0 5 3.3 1.57646
24 0 3 5.4 2.09177
24 0 7 4.4 1.85967
24 0 5 3.4 1.60372
25 0 3 5.5 2.11393
25 0 7 4.5 1.88382
25 0 5 3.5 1.63064
26 0 3 5.6 2.13592
26 0 7 4.6 1.90775
26 0 5 3.6 1.65724
27 0 3 5.7 2.15774
27 0 7 4.7 1.93146
27 0 5 3.7 1.68352
28 0 3 5.8 2.1794
28 0 7 4.8 1.95496
28 0 5 3.8 1.7095
29 0 3 5.9 2.2009
29 0 7 4.9 1.97824
29 0 5 3.9 1.7352
30 0 3 6 2.22225
30 0 7 5 2.00133
30 0 5 4 1.76061
