iteration localSeedProduced height_star sumTrunkArea totalDensity
0 0 nan 4.71239e-05 15
1 0 0 5.16399e-05 15
2 0 0 5.63916e-05 15
3 0 0 6.13789e-05 15
4 0 0 6.66018e-05 15
5 0 0 7.20603e-05 15
6 0 0 7.77544e-05 15
7 0 0 8.36842e-05 15
8 0 0 8.98495e-05 15
9 0 0 9.62505e-05 15
10 0 0 0.000102887 15
11 0 0 0.000109759 15
12 0 0 0.000116867 15
13 0 0 0.000124211 15
14 0 0 0.00013179 15
15 0 0 0.000139605 15
16 0 0 0.000147655 15
17 0 0 0.000155941 15
18 0 0 0.000164462 15
19 0 0 0.00017322 15
20 0 0 0.000182212 15
21 0 0 0.000191441 15
22 0 0 0.000200905 15
23 0 0 0.000210605 15
24 0 0 0.00022054 15
25 0 0 0.000230711 15
26 0 0 0.000241117 15
27 0 0 0.000251759 15
28 0 0 0.000262637 15
29 0 0 0.000273751 15
30 0 0 0.0002851 15
